rank,name,sales,month,type,scraped_at
1,,比亚迪,202606,factory,2026-06-14T05:48:32.062385
2,,吉利汽车,202606,factory,2026-06-14T05:48:32.062396
3,,上汽通用五菱,202606,factory,2026-06-14T05:48:32.062397
4,,零跑汽车,202606,factory,2026-06-14T05:48:32.062399
5,,广汽丰田,202606,factory,2026-06-14T05:48:32.062400
6,,吉利汽车,202606,factory,2026-06-14T05:48:32.062401
7,,上汽大众,202606,factory,2026-06-14T05:48:32.062402
8,,特斯拉中国,202606,factory,2026-06-14T05:48:32.062403
9,,一汽-大众,202606,factory,2026-06-14T05:48:32.062404
10,,一汽丰田,202606,factory,2026-06-14T05:48:32.062406
11,,AITO 问界,202606,factory,2026-06-14T05:48:32.062406
12,,理想,202606,factory,2026-06-14T05:48:32.062407
13,,小米汽车,202606,factory,2026-06-14T05:48:32.062408
14,,华晨宝马,202606,factory,2026-06-14T05:48:32.062413
15,,一汽奥迪,202606,factory,2026-06-14T05:48:32.062414
16,,长安汽车,202606,factory,2026-06-14T05:48:32.062415
17,,东风日产,202606,factory,2026-06-14T05:48:32.062416
18,,长安启源,202606,factory,2026-06-14T05:48:32.062417
19,,极氪,202606,factory,2026-06-14T05:48:32.062418
20,,上汽通用别克,202606,factory,2026-06-14T05:48:32.062419
21,,方程豹,202606,factory,2026-06-14T05:48:32.062420
22,,小鹏汽车,202606,factory,2026-06-14T05:48:32.062422
23,,北京奔驰,202606,factory,2026-06-14T05:48:32.062423
24,,广汽埃安,202606,factory,2026-06-14T05:48:32.062424
25,,深蓝汽车,202606,factory,2026-06-14T05:48:32.062425
26,,一汽红旗,202606,factory,2026-06-14T05:48:32.062426
27,,奇瑞汽车,202606,factory,2026-06-14T05:48:32.062427
28,,蔚来,202606,factory,2026-06-14T05:48:32.062428
29,,长城汽车,202606,factory,2026-06-14T05:48:32.062429
30,,北汽新能源,202606,factory,2026-06-14T05:48:32.062430
31,,上汽集团,202606,factory,2026-06-14T05:48:32.062431
32,,东风本田,202606,factory,2026-06-14T05:48:32.062432
33,,广汽乘用车,202606,factory,2026-06-14T05:48:32.062434
34,,腾势汽车,202606,factory,2026-06-14T05:48:32.062435
35,,领克,202606,factory,2026-06-14T05:48:32.062436
36,,奇瑞汽车,202606,factory,2026-06-14T05:48:32.062437
37,,蔚来,202606,factory,2026-06-14T05:48:32.062438
38,,岚图汽车,202606,factory,2026-06-14T05:48:32.062439
39,,长城汽车,202606,factory,2026-06-14T05:48:32.062440
40,,广汽本田,202606,factory,2026-06-14T05:48:32.062440
41,,长安马自达,202606,factory,2026-06-14T05:48:32.062441
42,,一汽奔腾,202606,factory,2026-06-14T05:48:32.062444
43,,北京越野,202606,factory,2026-06-14T05:48:32.062445
44,,奇瑞新能源,202606,factory,2026-06-14T05:48:32.062445
45,,智己汽车,202606,factory,2026-06-14T05:48:32.062446
46,,上汽集团,202606,factory,2026-06-14T05:48:32.062447
47,,奇瑞汽车,202606,factory,2026-06-14T05:48:32.062448
48,,一汽-大众捷达,202606,factory,2026-06-14T05:48:32.062449
49,,长城汽车,202606,factory,2026-06-14T05:48:32.062450
50,,沃尔沃亚太,202606,factory,2026-06-14T05:48:32.062451
