rank,name,sales,price_range,month,type,scraped_at
1,星愿,38751,6.48-9.48万,202605,ev,2026-06-14T00:00:00
2,Model Y,28911,26.35-31.35万,202605,ev,2026-06-14T00:00:00
3,小米SU7,24023,21.99-30.39万,202605,ev,2026-06-14T00:00:00
4,零跑A10,22306,6.58-8.68万,202605,ev,2026-06-14T00:00:00
5,理想i6,20878,24.98-26.98万,202605,ev,2026-06-14T00:00:00
6,海狮06,18856,12.99-19.98万,202605,ev,2026-06-14T00:00:00
7,Model 3,18370,23.55-33.95万,202605,ev,2026-06-14T00:00:00
8,宏光MINIEV,18308,3.58-5.58万,202605,ev,2026-06-14T00:00:00
9,问界M6,18148,25.98-29.98万,202605,ev,2026-06-14T00:00:00
10,钛7,17510,17.98-23.98万,202605,ev,2026-06-14T00:00:00
11,元UP,17043,7.48-11.98万,202605,ev,2026-06-14T00:00:00
12,长安启源Q05,15954,7.99-11.49万,202605,ev,2026-06-14T00:00:00
13,宋Pro新能源,15497,10.28-13.38万,202605,ev,2026-06-14T00:00:00
14,MG4,15067,6.88-10.28万,202605,ev,2026-06-14T00:00:00
15,小鹏MONA M03,14160,11.98-15.18万,202605,ev,2026-06-14T00:00:00
16,缤果Pro,13657,5.68-7.08万,202605,ev,2026-06-14T00:00:00
17,秦PLUS,12971,7.98-17.98万,202605,ev,2026-06-14T00:00:00
18,海豚,12819,9.98-12.98万,202605,ev,2026-06-14T00:00:00
19,蔚来ES8,11472,40.68-59.80万,202605,ev,2026-06-14T00:00:00
20,深蓝S05,10594,11.69-14.99万,202605,ev,2026-06-14T00:00:00
21,秦L,10019,9.68-15.38万,202605,ev,2026-06-14T00:00:00
22,宋Ultra,9961,12.99-17.99万,202605,ev,2026-06-14T00:00:00
23,海鸥,9822,6.98-8.59万,202605,ev,2026-06-14T00:00:00
24,AION i60,9471,10.28-13.58万,202605,ev,2026-06-14T00:00:00
25,问界M7,9199,24.98-38.98万,202605,ev,2026-06-14T00:00:00
26,极氪9X,9058,46.59-59.99万,202605,ev,2026-06-14T00:00:00
27,小米YU7,8736,23.35-38.99万,202605,ev,2026-06-14T00:00:00
28,QQ3 EV,8523,5.89-7.89万,202605,ev,2026-06-14T00:00:00
29,海豹06,8415,9.68-13.98万,202605,ev,2026-06-14T00:00:00
30,别克至境E7,7668,15.99-19.99万,202605,ev,2026-06-14T00:00:00
31,海狮05 DM-i,7519,9.79-14.28万,202605,ev,2026-06-14T00:00:00
32,极狐贝塔S3,7492,8.48-12.58万,202605,ev,2026-06-14T00:00:00
33,逸动,7304,7.29-9.99万,202605,ev,2026-06-14T00:00:00
34,零跑C10,7244,12.28-16.88万,202605,ev,2026-06-14T00:00:00
35,银河M7,7024,11.98-14.78万,202605,ev,2026-06-14T00:00:00
36,零跑D19,7021,21.98-26.98万,202605,ev,2026-06-14T00:00:00
37,奔驰C级,6839,29.99-34.56万,202605,ev,2026-06-14T00:00:00
38,铂智3X,6731,10.98-15.98万,202605,ev,2026-06-14T00:00:00
39,深蓝L06,6723,12.59-15.69万,202605,ev,2026-06-14T00:00:00
40,宝马5系,6491,36.80-52.59万,202605,ev,2026-06-14T00:00:00
41,海狮05 EV,6416,11.78-14.59万,202605,ev,2026-06-14T00:00:00
42,零跑C11,6375,14.88-20.98万,202605,ev,2026-06-14T00:00:00
43,奔腾小马,6334,2.49-5.39万,202605,ev,2026-06-14T00:00:00
44,海豹05 DM-i,6307,7.98-10.38万,202605,ev,2026-06-14T00:00:00
45,腾势D9,6145,30.98-60.06万,202605,ev,2026-06-14T00:00:00
46,极氪8X,6103,35.68-50.08万,202605,ev,2026-06-14T00:00:00
47,钛3,6086,13.38-19.38万,202605,ev,2026-06-14T00:00:00
48,长安启源A06,6019,10.99-14.99万,202605,ev,2026-06-14T00:00:00
49,乐道L80,5949,24.28-27.98万,202605,ev,2026-06-14T00:00:00
50,哈弗猛龙新能源,5856,16.58-20.88万,202605,ev,2026-06-14T00:00:00
